Description	amt	prc
Заходи із соціального захисту дітей, сімей, жінок та інших найбільш вразливих категорій населення	91682.7	1.240607705
Щорічна разова грошова допомога ветеранам війни і жертвам нацистських переслідувань та соціальна допомога особам, які мають особливі та особливі трудові заслуги перед Батьківщиною	1029952.8	-0.012277517
Довічні державні стипендії 	3805.5	0.216035727
Виплата соціальних стипендій студентам (курсантам) вищих навчальних закладів	992969	-
Соціальний захист громадян, які постраждали внаслідок Чорнобильської катастрофи	1919662.5	0.029847796
Фінансова підтримка громадських об’єднань інвалідів та ветеранів, заходи з відвідування військових поховань і військових пам’ятників та з відзначення Дня пам’яті та примирення, Дня перемоги над нацизмом у Другій світовій війні	81134.1	0.013401429
Компенсація підприємствам, установам, організаціям у межах середнього заробітку працівників, призваних на військову службу за призовом під час мобілізації, на особливий період за 2014-2015 роки	233100	-
Оздоровлення і відпочинок дітей, які потребують особливої уваги та підтримки, в дитячих оздоровчих таборах МДЦ "Артек" і ДЦ "Молода Гвардія" 	151885.9	0.736126377
Санаторно-курортне лікування ветеранів війни, осіб, на яких поширюється чинність законів України "Про статус ветеранів війни, гарантії їх соціального захисту", "Про жертви нацистських переслідувань" та інвалідів	130707	0.178869701
Надання щомісячної адресної допомоги внутрішньо переміщеним особам для покриття витрат на проживання, в тому числі на оплату житлово-комунальних послуг	3263665	0.032248907
Фінансова підтримка заходів із залучення до роботи членів малозабезпечених сімей та внутрішньо переміщених осіб в умовах експерименту	20000	-
Виплата матеріальної допомоги військовослужбовцям, звільненим з  військової строкової служби	40993	1.084112945
Компенсація роботодавцю частини фактичних витрат, пов’язаних зі сплатою єдиного внеску на загальнообов’язкове державне соціальне страхування	1400	0
Модернізація системи соціальної підтримки населення України	471112.6	10.58876483
Соціальна підтримка громад	11424	-
Інвестиції на підтримку соціального розвитку територіальних громад	17463.4	-
Керівництво та управління у сфері промислової безпеки, охорони та гігієни праці, нагляду за додержанням законодавства про працю	411860	0.783665737
Прикладні дослідження та розробки, підготовка наукових кадрів у сфері промислової безпеки та охорони праці	8782.6	0.811233581
Керівництво та управління у сфері соціального захисту ветеранів війни та учасників антитерористичної операції	19965	0.476674129
Заходи із психологічної реабілітації, соціальної та професійної адаптації учасників антитерористичної операції та забезпечення постраждалих учасників антитерористичної операції санаторно-курортним лікуванням	107623.8	0.240660773
Фінансове забезпечення виплати пенсій, надбавок та підвищень до пенсій, призначених за пенсійними програмами, та дефіциту коштів Пенсійного фонду	141315405.1	-0.008912653
Заходи із соціальної, трудової та професійної реабілітації інвалідів	1301932	-0.086725616
Забезпечення діяльності Фонду соціального захисту інвалідів	50088.6	0.524953703
Реабілітація дітей-інвалідів	675	0.064160373
Субвенція з державного бюджету місцевим бюджетам на виплату державної соціальної допомоги на дітей-сиріт та дітей, позбавлених батьківського піклування, грошового забезпечення батькам-вихователям і прийомним батькам за надання соціальних послуг у дитячих будинках сімейного типу та прийомних сім’ях за принципом „гроші ходять за дитиною”, оплату послуг із здійснення патронату над дитиною та виплату соціальної допомоги на утримання дитини в сім’ї патронатного вихователя	850922.6	0.424307371
Субвенція з державного бюджету місцевим бюджетам на виплату грошової компенсації за належні для отримання жилі приміщення для сімей загиблих осіб, визначених абзацами 5-8 пункту 1 статті 10, а також для осіб з інвалідністю І-ІІ групи, визначених пунктами 11-14 частини другої статті 7 Закону України "Про статус ветеранів війни, гарантії їх соціального захисту", та осіб, які втратили функціональні можливості нижніх кінцівок, інвалідність яких настала внаслідок поранення, контузії, каліцтва або захворювання, одержаних під час безпосередньої участі в антитерористичній операції, та потребують поліпшення житлових умов	329812.8	-0.207291475
Субвенція з державного бюджету міським бюджетам мм. Дніпра, Києва, Львова та Одеси на проведення робіт, пов'язаних зі створенням і забезпеченням функціонування центрів надання адміністративних послуг у форматі "Прозорий офіс" 	63562.1	2.162338154
Керівництво та управління у сфері регіонального розвитку, будівництва та житлово-комунального господарства	86391	0.708202583
Дослідження, наукові і науково-технічні розробки у сфері будівництва, житлово-комунального господарства та регіонального розвитку, виконання робіт за державними цільовими програмами у сфері розвитку житлово-комунального господарства, наукові розробки із нормування та стандартизації у сфері будівництва та житлової політики, дослідження збереження та вивчення видів флори у спеціально створених умовах	6198.8	0.250098404
Функціонування Державної науково-технічної бібліотеки	7399.2	0.425147623
Підтримка регіональної політики України	1000	-
Функціонування Фонду енергоефективності	400000	-
Фінансова підтримка Державного фонду сприяння молодіжному житловому будівництву	6850	1.48542E-05
Часткова компенсація відсоткової ставки кредитів комерційних банків молодим сім'ям та одиноким молодим громадянам на будівництво (реконструкцію) та придбання житла	61406.4	0.150428477
Збільшення статутного капіталу Державної спеціалізованої фінансової установи "Державний фонд сприяння молодіжному житловому будівництву" з подальшим використанням на реалізацію Державної програми забезпечення молоді житлом	28000	0.166666667
Здешевлення вартості іпотечних кредитів для забезпечення доступним житлом громадян, які потребують поліпшення житлових умов	81102.5	0.179168922
Реалізація проекту "Реконструкція споруд очистки стічних каналізаційних вод і будівництво технологічної лінії по обробці та утилізації осадів Бортницької станції аерації"	20000	-0.775373858
Фінансування заходів по забезпеченню впровадження та координації проекту розвитку міської інфраструктури, заходів в секторі централізованого теплопостачання України, надзвичайної кредитної програми для України, програми розвитку муніципальної інфраструктури України та заходів з відновлення сходу України	38800	2.100770644
Реалізація надзвичайної  кредитної  програми для відновлення України	55000	-
Керівництво та управління у сфері архітектурно-будівельного контролю та нагляду	133712.1	0.682533952
Керівництво та управління у сфері ефективного використання енергетичних ресурсів	40488.7	0.79433129
Реалізація Державної цільової економічної програми енергоефективності	400000	-0.535235662
Державний фонд регіонального розвитку	3500000	0.298922556
Субвенція з державного бюджету місцевим бюджетам на формування інфраструктури об'єднаних територіальних громад	1500000	0.586365133
Субвенція з державного бюджету місцевим бюджетам на фінансування заходів соціально-економічної компенсації ризику населення, яке проживає на території зони спостереження	137499.5	0.412607931
Субвенція з державного бюджету місцевим бюджетам на погашення різниці між фактичною вартістю теплової енергії, послуг з централізованого опалення, постачання гарячої води, централізованого водопостачання та водовідведення, постачання холодної води та водовідведення (з використанням внутрішньобудинкових систем), що вироблялися, транспортувалися та постачалися населенню та/або іншим підприємствам теплопостачання, централізованого питного водопостачання та водовідведення, які надають населенню такі послуги, та тарифами, що затверджувалися та/або погоджувалися органами державної влади чи місцевого самоврядування	5000000	-
Субвенція з державного бюджету місцевим бюджетам на реалізацію проектів в рамках Надзвичайної кредитної програми для відновлення України	2145000	-
Загальне керівництво та управління у сфері агропромислового комплексу	122250.9	0.425037789
Фінансова підтримка заходів в агропромисловому комплексі шляхом здешевлення кредитів	300000	0.072139723
Дослідження, прикладні наукові та науково-технічні розробки, виконання робіт за державними цільовими програмами і державним замовленням у сфері розвитку агропромислового комплексу, підготовка наукових кадрів, наукові розробки у сфері стандартизації та сертифікації сільськогосподарської продукції, дослідження та експериментальні розробки у сфері агропромислового комплексу	120017.5	0.216271492
Підвищення кваліфікації фахівців агропромислового комплексу	18986.7	0.743857981
Ліквідація та екологічна реабілітація території впливу гірничих робіт державного підприємства "Солотвинський солерудник" Тячівського району Закарпатської області	8024	1.670261225
Фінансова підтримка заходів в агропромисловому комплексі	60000	-
Витрати Аграрного фонду пов'язані з комплексом заходів із  зберігання, перевезення, переробки та експортом об'єктів державного цінового регулювання державного інтервенційного фонду	51400	1.023973347
Організація і регулювання діяльності установ в системі агропромислового комплексу та забезпечення діяльності Аграрного фонду	108004.7	0.725977783
Державна підтримка розвитку хмелярства, закладення молодих садів, виноградників та ягідників і нагляд за ними	75000	-
Державна підтримка галузі тваринництва	170000	4.669366608
Фінансова підтримка сільгосптоваровиробників	4774300	-
Керівництво та управління у сфері геодезії, картографії та кадастру	998922.9	-
Проведення земельної реформи	104800	-
Загальнодержавні топографо-геодезичні та картографічні роботи, демаркація та делімітація державного кордону	5034.3	-
Керівництво та управління у сфері рибного господарства	277973.6	1.379452993
Організація діяльності рибовідтворювальних комплексів та інших бюджетних установ  у сфері рибного господарства	52783	0.360221454
Прикладні науково-технічні розробки, виконання робіт за державними замовленнями у сфері рибного господарства	870.1	0.167449349
Селекція у рибному господарстві та відтворення водних біоресурсів у внутрішніх водоймах та Азово-Чорноморському басейні	40000	-
Міжнародна діяльність у галузі рибного  господарства	6479.8	0.457595781
Керівництво та управління у сфері лісового господарства	96571.5	0.960349982
Дослідження, прикладні розробки  та підготовка наукових кадрів у сфері лісового господарства	10403.4	0.227653025
Ведення лісового і мисливського господарства, охорона і захист лісів в лісовому фонді	140956.2	0.601418959
Керівництво та управління у сфері безпечності харчових продуктів та захисту споживачів	1174347.5	0.712089125
Протиепізоотичні заходи та участь у  Міжнародному епізоотичному бюро	113656.7	1.011891586
Організація та регулювання діяльності установ в системі Державної служби України з питань безпечності харчових продуктів та захисту споживачів	486782.5	0.052534507
Проведення лабораторних випробувань, вимірювань, досліджень та експертизи під час здійснення державного контролю (нагляду)	124697.8	98.67716021
Загальне керівництво та управління у сфері інфраструктури	64123.2	0.472348899
Підтримка експлуатаційно-безпечного стану судноплавних шлюзів, внутрішніх водних шляхів, в тому числі на проведення днопоглиблювальних робіт	39039.7	0
Здійснення заходів щодо підтримки впровадження транспортної стратегії України	1000	-0.858917434
Забезпечення діяльності Державної спеціальної служби транспорту	491744.3	0.352016891
Організаційне забезпечення реалізації інфраструктурних проектів	2014.8	3.799218062
Керівництво та управління у сфері авіаційного транспорту	190040	1.314807685
Здійснення державного контролю з питань безпеки на транспорті	122614.8	0.690072763
Керівництво та управління у сфері будівництва, ремонту та утримання автомобільних доріг	45872.1	3.102310136
Розвиток мережі та утримання автомобільних доріг загального користування	6591011.8	-0.297038
Виконання боргових зобов'язань за запозиченнями, залученими державою або під державні гарантії на розвиток мережі автомобільних доріг  загального користування	7328858.2	0.324082019
Будівництво мостового переходу у м. Запоріжжя	250000	-
Розбудова прикордонної дорожньої інфраструктури на українсько-польському кордоні	47083.2	-
Реалізація державного інвестиційного проекту "Покращення стану автомобільних доріг загального користування у Львівській області"	250000	0.483393278
Розвиток автомобільної дороги Р-52 Дніпропетровськ-Царичанка-Кобеляки-Решетилівка	350000	-
Керівництво та управління у сфері молоді та спорту	42901.4	0.698628925
Фундаментальні та прикладні наукові дослідження у сфері молоді та спорту	6410.9	0.152786745
Методичне забезпечення у сфері спорту	1095.3	0.481937692
Здійснення заходів державної політики з питань молоді та державна підтримка молодіжних та дитячих громадських організацій	27500	0.656409417
Розвиток спорту інвалідів та їх фізкультурно-спортивна реабілітація	319556.1	0.545847283
Підготовка і участь національних збірних команд в Паралімпійських  і Дефлімпійських іграх	329912.7	0.285143784
Розвиток фізичної культури, спорту вищих досягнень та резервного спорту	1088976.6	0.582899298
Фінансова підтримка громадських організацій фізкультурно-спортивного спрямування	46548	0.33839695
Підготовка і участь національних збірних команд в Олімпійських, Юнацьких Олімпійських, Всесвітніх та Європейських іграх	143402.6	-0.084885921
Керівництво та управління у сфері фінансів	338855.8	1.205948058
Наукове і науково-методичне забезпечення у сфері виробництва і використання дорогоцінного і напівдорогоцінного каміння та забезпечення виробничих та соціально-культурних потреб у дорогоцінних металах і дорогоцінному камінні 	12842.3	-0.792090144
Внески до міжнародних організацій	653000	2.859087658
Підтримка культурно-оздоровчих та соціальних заходів фінансової системи	6106.1	0.514063748
Побудова та функціонування інформаційно-аналітичної платформи верифікації та інші заходи, пов’язані з її впровадженням	19905.2	5.161695212
Керівництво та управління у сфері казначейського обслуговування	1361093.9	0.461296221
Відшкодування шкоди, завданої громадянинові незаконними діями органів дізнання, досудового слідства, прокуратури і суду, відшкодування громадянинові вартості конфіскованого та безхазяйного майна стягнутого в дохід держави, відшкодування шкоди, завданої фізичній чи юридичній особі незаконними рішеннями, діями чи бездіяльністю органів державної влади, їх посадових і службових осіб	18094.7	0
Заходи щодо виконання рішень суду, що гарантовані державою    	500000	2.454052467
Керівництво та управління у сфері фіскальної політики	6398991.7	0.063345939
Прикладні дослідження і розробки у сфері фіскальної політики	12688.1	0.507229682
Підвищення кваліфікації у сфері фіскальної політики	23931.2	0.448073055
Підготовка кадрів у сфері фіскальної політики вищими навчальними закладами ІІІ і ІV рівнів акредитації	185167.8	0.224304729
Реалізація заходів, передбачених Угодою про фінансування програми "Підтримка секторальної політики управління кордоном в Україні"	1000	-0.983918652
Реалізація проекту з розбудови прикордонної дорожньої інфраструктури та облаштування пунктів пропуску	17310	-
Керівництво та управління у сфері фінансового моніторингу	45508.9	0.658083748
Перепідготовка та підвищення кваліфікації у сфері боротьби з легалізацією (відмиванням) доходів, одержаних злочинним шляхом, і фінансуванням тероризму	3138.1	-0.41547029
Резервний фонд	1500000	-
Базова дотація	5911564.6	0.246072139
Додаткові дотації з державного бюджету місцевим бюджетам	15045236.9	161.7907698
Стабілізаційна дотація	2000000	0
Субвенція з державного бюджету місцевим бюджетам на надання пільг та житлових субсидій населенню на оплату електроенергії, природного газу, послуг тепло-, водопостачання і водовідведення, квартирної плати (утримання будинків і споруд та прибудинкових територій), вивезення побутового сміття та рідких нечистот	47073700	0.066944407
Субвенція з державного бюджету місцевим бюджетам на здійснення заходів щодо соціально-економічного розвитку окремих територій	4000000	0.433201145
Субвенція з державного бюджету місцевим бюджетам на надання пільг та житлових субсидій населенню на придбання твердого та рідкого пічного побутового палива і скрапленого газу	2482113.7	0.088741761
Субвенція з державного бюджету місцевим бюджетам на виплату допомоги сім'ям з дітьми, малозабезпеченим сім'ям, інвалідам з дитинства, дітям-інвалідам, тимчасової державної допомоги дітям та допомоги по догляду за інвалідами І чи ІІ групи внаслідок психічного розладу	53929901.3	0.14370109
Обслуговування державного боргу 	111338374.6	0.162266519
Субвенція з державного бюджету міському бюджету міста Жовті Води на виконання заходів щодо радіаційного та соціального захисту населення міста Жовті Води	8480.1	0.000597115
Обслуговування та погашення зобов’язань за залученими коштами під державні гарантії для здійснення капітальних видатків розпорядниками бюджетних коштів	16318.2	-0.34658916
Реалізація програм допомоги Європейського Союзу, урядів іноземних держав, міжнародних організацій, донорських установ	907920	-
Cубвенція з державного бюджету міському бюджету міста Дніпра на завершення будівництва метрополітену у м. Дніпрі	648528	0.273243758
Фінансування спільних з Європейським інвестиційним банком проектів	55000	-0.812220042
Керівництво та управління у сфері юстиції	2932990.6	0.48752374
Виконання покарань установами і органами Державної кримінально-виконавчої служби України	3584454.3	-
Забезпечення діяльності органів пробації	317387.7	-
Підготовка робітничих кадрів у професійно-технічних закладах соціальної адаптації при установах виконання покарань	3793.2	-
Проведення судової експертизи і розробка методики проведення судових експертиз	109193.8	0.032152398
Підвищення кваліфікації працівників органів юстиції 	11081.1	0.126376411
Забезпечення захисту прав та інтересів України під час урегулювання спорів, розгляду у закордонних юрисдикційних органах справ за участю іноземного суб’єкта та України, а також забезпечення представництва України в Європейському суді з прав людини	144553	-0.317679006
Платежі на виконання рішень закордонних юрисдикційних органів, прийнятих за наслідками розгляду справ проти України	640824.8	0.008617715
Завершення реконструкції режимного корпусу для тримання засуджених до довічного позбавлення волі у Полтавській установі виконання покарань № 23	8157.8	-
Створення слідчого ізолятора в Київській області	23605.8	-
Завершення будівництва лікувального корпусу в Голопристанській виправній колонії № 7 у Херсонській області	5265.6	-
Забезпечення формування та функціонування системи безоплатної правової допомоги	260873.7	0.435638194
Оплата послуг та відшкодування витрат адвокатів з надання безоплатної вторинної правової допомоги	97671.2	-0.064748314
Керівництво та управління у сфері архівної справи	17237.5	0.967427881
Прикладні розробки у сфері архівної справи та страхового фонду документації	8399.7	0.289037467
Забезпечення діяльності архівних установ та установ страхового фонду документації	141980.8	0.583252172
Керівництво та управління у сфері інформаційної політики	8596.9	0.808716677
Виробництво та трансляція телерадіопрограм для державних потреб, збирання, обробка та розповсюдження офіційної інформаційної продукції, фінансування системи державного іномовлення України	219644.8	1.03999652
Здійснення заходів у сфері захисту національного інформаційного простору	33600	-
Керівництво та управління у сфері ядерного регулювання	50372	0.990148312
Забезпечення ведення Державного регістру джерел іонізуючого випромінювання 	413.8	0.000102355
Керівництво та управління у сфері регулювання ринків фінансових послуг	52234.7	0.937828465
Керівництво та управління у сфері регулювання зв'язку та інформатизації	59434.8	0.921354937
Розвідувальна діяльність у сфері оборони	1398269.5	0.086964434
Будівництво (придбання) житла для військовослужбовців Головного управління розвідки Міністерства оборони України	20695	-
Формування суддівського корпусу та контроль за його діяльністю	133292.7	3.235149316
Парламентський контроль за додержанням конституційних прав і свобод людини	51323.8	0.670765472
Керівництво та управління  у сфері конкурентної політики, контроль за дотриманням законодавства про захист економічної конкуренції	122261.8	0.684695039
Прикладні розробки у сфері конкурентної політики та права	1181.9	0.28949006
Керівництво та  функціональне управління у сфері державної служби	43696.8	0.689171449
Професійне навчання державних службовців та посадових осіб місцевого самоврядування, забезпечення інституційного розвитку та адаптації державної служби до стандартів ЄС 	74707.2	0.661152953
Керівництво та управління у сфері фондового ринку	86977.4	0.637788946
Забезпечення діяльності Національного антикорупційного бюро України	773556.8	0.622768785
Керівництво та управління у сфері запобігання корупції	162888.3	1.318448237
Фінансування статутної діяльності політичних партій	442399.4	1.733256272
Керівництво та управління у сфері регулювання енергетики та комунальних послуг	104040.8	0.956677849
Керівництво та управління у сфері космічної діяльності	22484.4	0.476433549
Виконання робіт за державними цільовими програмами і державним замовленням у сфері космічної галузі, в тому числі загальнодержавної цільової науково-технічної космічної програми України	29000	-0.83608157
Надання позашкільної освіти Національним центром аерокосмічної освіти молоді ім. О.М. Макарова	7230.5	0.4246402
Управління та випробування космічних засобів	149158	0.183339273
Утилізація твердого ракетного палива	264401	0.050999519
Виконання боргових зобов'язань за кредитом, залученим під державну гарантію для реалізації проекту "Створення Національної супутникової системи зв'язку"	1497262	0.039762239
Виконання державних цільових програм реформування та розвитку оборонно-промислового комплексу, розроблення, освоєння і впровадження нових технологій, нарощування наявних виробничих потужностей на підприємствах космічної галузі для виготовлення продукції оборонного призначення	941200	-
Забезпечення діяльності Державного бюро розслідувань	640684.9	-
Керівництво та управління у сфері розшуку та управління активами, одержаними від корупційних та інших злочинів	40011.7	-
Керівництво та управління здійсненням контролю у сфері телебачення і радіомовлення	47602.2	0.674572209
Інформаційно-аналітичне забезпечення координаційної діяльності у сфері національної безпеки і оборони	128120	0.891385537
Керівництво та управління у сфері контролю за виконанням державного бюджету	149165.9	0.810346639
Забезпечення заходів у сфері безпеки держави та діяльності органів системи Служби безпеки України	6015372	0.119123217
Медичне обслуговування і оздоровлення особового складу та утримання закладів дошкільної освіти Служби безпеки України	162527.1	0.237176221
Підготовка та перепідготовка кадрів Служби безпеки України вищими навчальними закладами III та IV рівнів акредитації	57211.6	0.340572195
Будівництво (придбання) житла для військовослужбовців Служби безпеки України	120100	-0.234039251
Забезпечення заходів спеціальними підрозділами по боротьбі з організованою злочинністю та корупцією Служби безпеки України	31129.1	0.053633958
Видатки для Служби безпеки України на реалізацію заходів щодо підвищення обороноздатності і безпеки держави	100000	-
Координація діяльності у запобіганні терористичним актам та боротьба з тероризмом на території України	11460.2	-0.587061059
Наукова і організаційна діяльність президії Національної академії наук України	81361.8	0.209853601
Фундаментальні дослідження, прикладні наукові і науково-технічні розробки, виконання робіт за державними цільовими програмами і державним замовленням, підготовка наукових кадрів, фінансова підтримка розвитку наукової інфраструктури та наукових об'єктів, що становлять національне надбання, забезпечення діяльності наукових бібліотек	3173890.7	0.246546208
Підготовка кадрів з пріоритетних напрямів науки вищими навчальними закладами ІІІ і ІV рівнів акредитації	3867.2	0.758005697
Медичне обслуговування працівників Національної академії наук України	65284.9	0.585769929
Здійснення науково-дослідницьких та дослідно-конструкторських робіт Інститутом проблем безпеки атомних електростанцій Національної академії наук України	41483.7	0.163290436
Підвищення кваліфікації з пріоритетних напрямів науки та підготовка до державної атестації наукових кадрів Національної академії наук України	9858.2	0.433701066
Наукова і організаційна діяльність президії Національної академії педагогічних наук України	19992.6	0.534442078
Фундаментальні дослідження, прикладні наукові і науково-технічні розробки, виконання робіт за державними цільовими програмами і державним замовленням у сфері педагогічних наук, підготовка наукових кадрів, фінансова підтримка розвитку наукової інфраструктури та об'єктів, що становлять національне надбання	127382.6	0.657922099
Підвищення кваліфікації керівних кадрів і спеціалістів у сфері освіти закладами післядипломної освіти III і IV рівнів акредитації	35382.1	0.449359715
Фундаментальні дослідження, прикладні наукові і науково-технічні розробки, виконання робіт за державними цільовими програмами і державним замовленням у сфері профілактики і лікування хвороб людини, підготовка наукових кадрів, фінансова підтримка розвитку наукової інфраструктури та об'єктів, що становлять національне надбання	220472.3	-0.357834852
Діагностика і лікування захворювань із впровадженням експериментальних та нових медичних технологій, спеціалізована консультативно-поліклінічна допомога, що надається науково-дослідними установами Національної академії медичних наук України	1053548.2	-0.260306538
Наукова і організаційна діяльність президії Національної академії медичних наук України	15553.4	0.418025727
Реалізація пілотного проекту щодо зміни механізму фінансування надання медичної допомоги у окремих науково-дослідних установах Національної академії медичних наук України	200000	-
Реставрація з реабілітацією та пристосуванням клінічного корпусу № 3 ДУ "Інститут нейрохірургії ім. акад. А.П. Ромоданова НАМН України" по вул. Платона Майбороди (Мануїльського), 32 в Шевченківському р-ні м. Києва	90000	0.565399375
Створення сучасної клінічної бази для хірургічного лікування очної патології (недобудованого лікувального корпусу за адресою м. Одеса, Французькій бул., 49/51)	57786.1	-
Будівництво лікувально-реабілітаційного корпусу ДУ "Національний інститут серцево судинної хірургії ім. Амосова НАМНУ"	7009	-
Наукова і організаційна діяльність президії Національної академії мистецтв України	13143.3	0.426812529
Фундаментальні дослідження та підготовка наукових кадрів у сфері мистецтвознавства	10039.2	0.396048534
Наукова і організаційна діяльність президії Національної академії правових наук України	11222.9	0.158095991
Фундаментальні дослідження, прикладні наукові і науково-технічні розробки, виконання робіт за державними цільовими програмами і державним замовленням у сфері законодавства і права, підготовка наукових кадрів, фінансова підтримка розвитку наукової інфраструктури	24688.7	0.286607048
Наукова і організаційна діяльність президії Національної академії аграрних наук України	24763.7	0.103401318
Фундаментальні дослідження, прикладні наукові і науково-технічні розробки, виконання робіт за державними цільовими програмами і державним замовленням у сфері агропромислового комплексу, підготовка наукових кадрів, фінансова підтримка технічного забезпечення наукових установ, розвитку наукової інфраструктури  та об'єктів, що становлять національне надбання	695720.8	0.003176122
Здійснення заходів щодо підтримки науково-дослідних господарств	1527.5	-0.366681869
Збереження природно-заповідного фонду в біосферному заповіднику "Асканія-Нова"	19127.8	0.158804515
Державна охорона органів державної влади та посадових осіб	811918	0.274943195
Будівництво (придбання) житла для військовослужбовців Управління державної охорони України	40000	0.004094018
Керівництво та управління у сфері державного майна	236273.2	0.479297522
Заходи, пов'язані з проведенням приватизації державного майна	20000	0.767224402
Забезпечення розвідувальної діяльності у сфері безпеки держави, спеціального захисту державних представництв за кордоном та діяльності підрозділів системи Служби зовнішньої розвідки України  	982115.7	0.202277816
Будівництво (придбання) житла для військовослужбовців Служби зовнішньої розвідки України	10000	0.000124516
Забезпечення функціонування державної системи спеціального зв'язку та захисту інформації	947902.4	0.277223394
Розвиток і модернізація державної системи спеціального зв'язку та захисту інформації	399221.5	1.33768841
Підготовка кадрів для сфери зв'язку вищими навчальними закладами ІІІ та ІV рівнів акредитації	62342.8	0.253942071
Будівництво (придбання) житла для військовослужбовців Державної служби спеціального зв'язку та захисту інформації України	1000	0.00814404
Видатки для Адміністрації Державної служби спеціального зв’язку та захисту інформації України на реалізацію заходів щодо підвищення обороноздатності і безпеки держави	200000	30962.10746
Доставка дипломатичної кореспонденції за кордон і в Україну	2609.9	0.271577506
Доставка спеціальної службової кореспонденції органам державної влади	115349.9	0.305686796
Керівництво та управління у сфері проведення виборів та референдумів	76625.6	0.133108631
Проведення виборів народних депутатів України 	32167.6	0.118745383
Функціонування Державного реєстру виборців	31426.2	0.032921175
Субвенція з державного бюджету місцевим бюджетам на проведення виборів депутатів місцевих рад та сільських, селищних, міських голів	20000	-0.606867225
Здійснення виконавчої влади у Вінницькій області	359079.9	0.506890725
Здійснення виконавчої влади у Волинській області	222609.4	0.341926302
Здійснення виконавчої влади у Дніпропетровській області	352367.8	0.586841107
Здійснення виконавчої влади у Донецькій області	327478.2	0.308217042
Здійснення виконавчої влади у Житомирській області	299057.4	0.373933567
Здійснення виконавчої влади у Закарпатській області	227598.9	0.411584069
Здійснення виконавчої влади у Запорізькій області	270399.4	0.249390496
Здійснення виконавчої влади в Івано-Франківській області	249783.7	0.519760262
Здійснення виконавчої влади у Київській області	355076.8	0.527351785
Здійснення виконавчої влади у Кіровоградській області	258974	0.581266016
Здійснення виконавчої влади у Луганській області	271174.2	0.291825526
Здійснення виконавчої влади у Львівській області	305744.6	0.250039996
Здійснення виконавчої влади у Миколаївській області	238945.3	0.626782549
Здійснення виконавчої влади в Одеській області	339972	0.621120845
Здійснення виконавчої влади у Полтавській області	288883.8	0.219127819
Здійснення виконавчої влади у Рівненській області	227460.9	0.382945382
Здійснення виконавчої влади у Сумській області	243122.3	0.403825932
Здійснення виконавчої влади у Тернопільській області	246259.2	0.437720625
Здійснення виконавчої влади у Харківській області	379829.5	0.651821287
Здійснення виконавчої влади у Херсонській області	218593.5	0.479423096
Здійснення виконавчої влади у Хмельницькій області	266278	0.576567682
Здійснення виконавчої влади у Черкаській області	257811.9	0.404432643
Здійснення виконавчої влади у Чернівецькій області	167247.5	0.550310033
Здійснення виконавчої влади у Чернігівській області	266245	0.452269991
Керівництво та управління у сфері регуляторної політики та ліцензування	37792.1	0.954497539
